#orth_id	category	organism(s)
SinMel1011	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1013	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1014	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1016	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1017	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1019	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1020	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1021	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1023	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1024	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1025	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1026	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1027	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1028	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1031	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1033	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1034	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1035	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1036	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1037	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1038	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1039	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1040	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1041	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1042	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1043	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1044	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1045	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1046	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1047	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1048	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1049	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1051	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1052	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1053	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1054	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1055	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1056	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1058	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1059	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1061	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1063	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1064	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1065	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1066	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1067	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1068	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1069	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1070	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1071	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
SinMel1072	core	1A42 2011 5A14 A0641M A0643DD AE608H AK11 AK58 AK75 AK83 B021CC BL225C C0431A C0438LL CCNWSX0020 GR4 H1 HM006-1 HM007-10 HM007-12 HM007-17 HM015-1 HM031-1 KH12g KH16b KH30a KH35b KH35c KH46b KH46c KH48e M10 M156 M162 M195 M210 M243 M249 M268 M270 M30 N6B1 N6B7 Rm1021 Rm41 SM11 T027 T073 T094 USDA1002 USDA1021
