#orth_id	prot_id
Rhizo13688	mll0899
Rhizo3880	mlr5157
Rhizo3881	RHE_CH03624
Rhizo3881	RL4147
Rhizo3886	RHE_CH03629
Rhizo3886	SMc02983
Rhizo3886	NGR_c29260
Rhizo3886	Smed_2772
Rhizo3886	RL4156
Rhizo3886	mll2974
Rhizo3887	RHE_CH03630
Rhizo3887	NGR_c29280
Rhizo3887	SMc02984
Rhizo3887	mlr2977
Rhizo3887	Smed_2773
Rhizo3887	RL4157
Rhizo3884	RHE_CH03627
Rhizo3884	RL4152
Rhizo3885	RHE_CH03628
Rhizo3885	Smed_2771
Rhizo3885	NGR_c29250
Rhizo3885	SMc02982
Rhizo3885	RL4155
Rhizo3885	mll2972
Rhizo12598	Smed_5151
Rhizo13686	mll0896
Rhizo3888	RHE_CH03631
Rhizo3888	SMc02985
Rhizo3888	NGR_c29290
Rhizo3888	Smed_2774
Rhizo3888	RL4158
Rhizo3888	mlr2979
Rhizo3889	RHE_CH03632
Rhizo3889	Smed_2775
Rhizo3889	RL4159
Rhizo3889	SMc02986
Rhizo3889	NGR_c29300
Rhizo3889	mlr2980
Rhizo871	RHE_CH00551
Rhizo871	NGR_c22650
Rhizo871	SMc01561
Rhizo871	RL0584
Rhizo871	Smed_2221
Rhizo871	mlr1655
Rhizo13687	msl0897
Rhizo406	RHE_CH00078
Rhizo406	RL0087
Rhizo406	Smed_3334
Rhizo406	SMc04130
Rhizo406	NGR_b17940
Rhizo870	RHE_CH00550
Rhizo870	Smed_0152
Rhizo870	NGR_c01740
Rhizo870	SMc02236
Rhizo870	mlr5611
Rhizo870	RL0583
Rhizo13684	mll0894
Rhizo407	RHE_CH00079
Rhizo407	Smed_3332
Rhizo407	SMc04132
Rhizo407	NGR_b17960
Rhizo407	RL0088
Rhizo407	mll3044
Rhizo877	RHE_CH00557
Rhizo877	RL0591
Rhizo877	SMc02229
Rhizo877	Smed_0146
Rhizo877	NGR_c01690
Rhizo877	mlr5624
Rhizo13685	mll0895
Rhizo404	RHE_CH00076
Rhizo404	RL0085
Rhizo404	NGR_c15100
Rhizo404	Smed_3581
Rhizo404	SM_b20535
Rhizo876	RHE_CH00556
Rhizo876	mll0820
Rhizo5769	RHE_PF00377
Rhizo5769	SMa1344
Rhizo5769	Smed_5862
Rhizo5769	pRL120590
Rhizo5768	RHE_PF00376
Rhizo5768	pRL120591
Rhizo10083	NGR_c14230
Rhizo10082	NGR_c14220
Rhizo10085	NGR_c14300
Rhizo875	RHE_CH00555
Rhizo875	SMc02230
Rhizo875	Smed_0147
Rhizo875	NGR_c01700
Rhizo875	RL0588
Rhizo875	mll5622
Rhizo10087	NGR_c14420
Rhizo10086	NGR_c14320
Rhizo5761	RHE_PF00369
Rhizo5761	Smed_5853
Rhizo5761	SMa1329
Rhizo5761	pRL120598
Rhizo5761	mll3393
Rhizo5760	RHE_PF00368
Rhizo5760	Smed_5266
Rhizo5760	SMa0275
Rhizo5760	pRL120599
Rhizo5760	mlr5723
Rhizo5763	RHE_PF00371
Rhizo5763	Smed_5855
Rhizo5763	SMa1332
Rhizo5763	mlr3388
Rhizo5763	NGR_a02140
Rhizo5763	pRL120596
Rhizo5762	RHE_PF00370
Rhizo5762	Smed_5854
Rhizo5762	SMa1331
Rhizo5762	pRL120597
Rhizo5762	mlr3390
Rhizo5765	RHE_PF00373
Rhizo5765	Smed_5857
Rhizo5765	SMa5030
Rhizo5765	mll3386
Rhizo5765	pRL120594
Rhizo5764	RHE_PF00372
Rhizo5764	SMa1334
Rhizo5764	Smed_5856
Rhizo5764	NGR_a02150
Rhizo5764	pRL120595
Rhizo5764	mlr3387
Rhizo5767	RHE_PF00375
Rhizo5767	pRL120592
Rhizo5766	RHE_PF00374
Rhizo5766	pRL120593
Rhizo12887	Smed_6100
Rhizo5366	RHE_PE00429
Rhizo400	RHE_CH00072
Rhizo400	Smed_3669
Rhizo400	NGR_b17880
Rhizo400	SM_b20462
Rhizo400	RL0081
Rhizo400	mll7872
Rhizo5361	RHE_PE00424
Rhizo5361	SMc02608
Rhizo5361	NGR_c14360
Rhizo5361	pRL110560
Rhizo5361	Smed_3289
Rhizo5361	mll6240
Rhizo401	RHE_CH00073
Rhizo401	Smed_3578
Rhizo401	SM_b20538
Rhizo401	NGR_c15130
Rhizo401	RL0082
Rhizo575	RHE_CH00250
Rhizo575	NGR_c36080
Rhizo575	SMc00351
Rhizo575	Smed_3471
Rhizo575	mll1444
Rhizo575	RL0256
Rhizo8162	SMa1146
Rhizo8162	pRL120177
Rhizo8162	mlr6591
Rhizo5360	RHE_PE00423
Rhizo5360	Smed_3290
Rhizo5360	SMc02609
Rhizo5360	NGR_c14370
Rhizo5360	mlr6241
Rhizo5360	pRL110559
Rhizo4100	RHE_CH03851
Rhizo4100	SMc03091
Rhizo4100	Smed_2891
Rhizo4100	NGR_c30820
Rhizo4100	RL4384
Rhizo4100	mll6778
Rhizo1721	RHE_CH01416
Rhizo1721	NGR_c08700
Rhizo1721	SMc02543
Rhizo1721	Smed_0721
Rhizo1721	RL1535
Rhizo1721	mlr7813
Rhizo8163	SMa1147
Rhizo5363	RHE_PE00426
Rhizo5363	pRL110562
Rhizo5363	NGR_c14340
Rhizo5363	Smed_3287
Rhizo5363	SMc02606
Rhizo5363	mll6238
Rhizo1720	RHE_CH01415
Rhizo1720	NGR_c08710
Rhizo1720	SMc00550
Rhizo1720	Smed_0722
Rhizo1720	mlr7818
Rhizo1720	RL1534
Rhizo8164	SMa1154
Rhizo8164	NGR_b11320
Rhizo8164	mlr6601
Rhizo5362	RHE_PE00425
Rhizo5362	SMc02607
Rhizo5362	Smed_3288
Rhizo5362	NGR_c14350
Rhizo5362	pRL110561
Rhizo5362	msl6239
Rhizo1723	RHE_CH01418
Rhizo1723	NGR_c08680
Rhizo1723	SMc02545
Rhizo1723	Smed_0719
Rhizo1723	mlr7806
Rhizo1723	RL1537
Rhizo8165	SMa1155
Rhizo8165	mlr6609
Rhizo8165	RL1869
Rhizo2931	RHE_CH02658
Rhizo2931	SMa2309
Rhizo2931	RL3109
Rhizo2930	RHE_CH02657
Rhizo2930	SMa2311
Rhizo2930	RL3108
Rhizo2933	RHE_CH02660
Rhizo2933	SMa2305
Rhizo2933	RL3111
Rhizo2932	RHE_CH02659
Rhizo2932	SMa2307
Rhizo2932	RL3110
Rhizo2935	RHE_CH02662
Rhizo2935	NGR_b23210
Rhizo2935	SMa0044
Rhizo2935	Smed_5849
Rhizo2935	RL0386
Rhizo2935	msr7471
Rhizo2934	RHE_CH02661
Rhizo2934	SMa2303
Rhizo2934	RL3112
Rhizo2934	Smed_1126
Rhizo2937	RHE_CH02664
Rhizo2937	SM_b21440
Rhizo2937	Smed_4416
Rhizo2937	NGR_b11180
Rhizo2937	RL3085
Rhizo2936	RHE_CH02663
Rhizo2936	Smed_3906
Rhizo2936	NGR_b02490
Rhizo2936	SM_b20222
Rhizo2936	RL3113
Rhizo2939	RHE_CH02666
Rhizo2939	NGR_b00120
Rhizo2939	Smed_4096
Rhizo2939	SM_b20039
Rhizo2939	RL3118
Rhizo2939	mlr1139
Rhizo2938	RHE_CH02665
Rhizo2938	SM_b20040
Rhizo2938	NGR_b00110
Rhizo2938	RL3117
Rhizo2938	Smed_4095
Rhizo2938	mll1137
Rhizo10883	RL0068
Rhizo10882	RL0062
Rhizo10885	RL0110
Rhizo10884	RL0108
Rhizo10887	RL0154
Rhizo10886	RL0113
Rhizo14113	mll2166
Rhizo39	RHE_PD00041
Rhizo39	NGR_c22750
Rhizo39	SM_b20421
Rhizo1727	RHE_CH01422
Rhizo1727	NGR_c08650
Rhizo1727	SMc02548
Rhizo1727	Smed_0716
Rhizo1727	RL1541
Rhizo14112	mll2164
Rhizo5369	RHE_PE00432
Rhizo5369	Smed_4980
Rhizo5369	SM_b21102
Rhizo5369	mlr7155
Rhizo5369	pRL110600
Rhizo1726	RHE_CH01421
Rhizo1726	NGR_c08640
Rhizo1726	Smed_0715
Rhizo1726	SMc02549
Rhizo1726	mlr7802
Rhizo1726	RL1540
Rhizo14111	mll2162
Rhizo375	RHE_CH00040
Rhizo375	SMc02567
Rhizo375	NGR_c33980
Rhizo375	Smed_3257
Rhizo375	RL0040
Rhizo375	mlr5019
Rhizo5368	RHE_PE00431
Rhizo5368	SM_b21111
Rhizo5368	Smed_4971
Rhizo5368	NGR_c29880
Rhizo5368	pRL110599
Rhizo5368	mll4781
Rhizo11132	RL1235
Rhizo11133	RL1236
Rhizo11130	RL1231
Rhizo11131	RL1232
Rhizo11136	RL1243
Rhizo14417	mlr3150
Rhizo11134	RL1238
Rhizo11135	RL1239
Rhizo11684	RL3941
Rhizo11685	RL3942
Rhizo11138	RL1247
Rhizo9339	NGR_b09210
Rhizo9339	mll4837
Rhizo11680	RL3926
Rhizo11681	RL3927
Rhizo11682	RL3939
Rhizo11683	RL3940
Rhizo398	RHE_CH00070
Rhizo398	SM_b20460
Rhizo398	NGR_b17870
Rhizo398	Smed_3671
Rhizo398	RL0079
Rhizo398	mlr7873
Rhizo14115	mlr2174
Rhizo10842	pRL90213
Rhizo14114	mlr2173
Rhizo376	RHE_CH00041
Rhizo376	Smed_3258
Rhizo376	NGR_c33990
Rhizo376	SMc02568
Rhizo376	RL0041
Rhizo376	mlr5018
Rhizo2687	RHE_CH02405
Rhizo2687	NGR_c17130
Rhizo2687	SMc00197
Rhizo2687	Smed_1583
Rhizo2687	RL2728
Rhizo2687	mlr0545
Rhizo2686	RHE_CH02404
Rhizo2686	SMc00372
Rhizo2686	NGR_c36320
Rhizo2686	Smed_3492
Rhizo2686	RL2727
Rhizo2686	mlr3115
Rhizo2685	RHE_CH02403
Rhizo2685	SMc00268
Rhizo2685	RL2725
Rhizo2685	Smed_3132
Rhizo2685	mll5766
Rhizo2685	NGR_a02430
Rhizo2684	RHE_CH02402
Rhizo2684	Smed_3124
Rhizo2684	RL2723
Rhizo2684	mll7334
Rhizo2684	SMc02339
Rhizo2683	RHE_CH02401
Rhizo2683	Smed_3125
Rhizo2683	RL2722
Rhizo2683	mlr4967
Rhizo2682	RHE_CH02400
Rhizo2682	Smed_3126
Rhizo2682	RL2721
Rhizo2681	RHE_CH02399
Rhizo2681	Smed_3127
Rhizo2681	RL2720
Rhizo2680	RHE_CH02398
Rhizo2680	RL2719
Rhizo2680	Smed_3128
Rhizo2680	NGR_a02440
Rhizo2680	SMc00270
Rhizo2680	mll5765
Rhizo7242	SM_b21064
Rhizo16308	mll9325
Rhizo16309	msr9326
Rhizo2689	RHE_CH02407
Rhizo2689	NGR_c17150
Rhizo2689	Smed_1585
Rhizo2689	SMc00142
Rhizo2689	mlr0548
Rhizo2689	RL2730
Rhizo2688	RHE_CH02406
Rhizo2688	RL2729
Rhizo2688	Smed_1584
Rhizo2688	NGR_c17140
Rhizo2688	SMc00143
Rhizo2688	mlr0547
Rhizo12814	Smed_5905
Rhizo12815	Smed_5906
Rhizo12816	Smed_5907
Rhizo12817	Smed_5908
Rhizo8069	SMa0896
Rhizo8069	NGR_b10430
Rhizo8068	SMa0894
Rhizo12812	Smed_5902
Rhizo12813	Smed_5903
Rhizo8065	SMa0886
Rhizo8064	SMa0878
Rhizo8064	pRL100180
Rhizo8067	SMa0887
Rhizo8066	SMa5005
Rhizo8061	SMa0874
Rhizo8061	pRL100179
Rhizo8060	SMa0872
Rhizo8060	Smed_6182
Rhizo8063	SMa0876
Rhizo8062	SMa0875
Rhizo8062	Smed_6179
Rhizo11356	RL2193
Rhizo11356	Smed_1191
Rhizo11357	RL2194
Rhizo11354	RL2191
Rhizo11355	RL2192
Rhizo11355	Smed_1192
Rhizo11352	RL2189
Rhizo11353	RL2190
Rhizo11350	RL2187
Rhizo11351	RL2188
Rhizo14119	mlr2181
Rhizo11358	RL2195
Rhizo11359	RL2196
Rhizo15455	mlr6490
Rhizo8612	NGR_a00120
Rhizo15457	mlr6493
Rhizo15456	mll6491
Rhizo15451	mll6472
Rhizo15450	mlr6471
Rhizo15453	mlr6488
Rhizo15452	msl6482
Rhizo370	RHE_CH00035
Rhizo370	SMc04446
Rhizo370	Smed_3251
Rhizo370	RL0035
Rhizo370	NGR_c33920
Rhizo370	mll5094
Rhizo15459	mlr6497
Rhizo15458	mlr6494
Rhizo7131	SM_b20518
Rhizo7131	Smed_1867
Rhizo8616	NGR_a00180
Rhizo14118	mlr2180
Rhizo6384	SMc04297
Rhizo6384	Smed_1754
Rhizo6384	pRL110451
Rhizo7137	SM_b20532
Rhizo7137	mll3492
Rhizo11879	pRL100110
Rhizo371	RHE_CH00036
Rhizo371	Smed_3252
Rhizo371	SMc02560
Rhizo371	NGR_c33930
Rhizo371	mll5095
Rhizo371	RL0036
Rhizo294	RHE_PD00311
Rhizo11878	pRL100109
Rhizo3971	RHE_CH03714
Rhizo3971	Smed_4273
Rhizo3971	SM_b20707
Rhizo3971	NGR_b10930
Rhizo3971	RL4257
Rhizo8348	SMa1668
Rhizo8348	NGR_c28530
Rhizo601	RHE_CH00276
Rhizo601	SMc00378
Rhizo601	NGR_c36360
Rhizo601	Smed_3498
Rhizo601	RL0282
Rhizo601	mll6896
Rhizo8349	SMa1670
Rhizo6019	SMc00346
Rhizo6019	NGR_c35980
Rhizo6019	Smed_3466
Rhizo11875	pRL100106
Rhizo11874	pRL100105
Rhizo372	RHE_CH00037
Rhizo372	NGR_c33940
Rhizo372	SMc02562
Rhizo372	Smed_3253
Rhizo372	RL0037
Rhizo372	mlr5096
Rhizo7648	SM_b20696
Rhizo7648	pRL120085
Rhizo7649	SM_b20697
Rhizo7649	Smed_4285
Rhizo8689	NGR_a01350
Rhizo8688	NGR_a01340
Rhizo8681	NGR_a01070
Rhizo8680	NGR_a01060
Rhizo8683	NGR_a01150
Rhizo8683	mlr5879
Rhizo8682	NGR_a01140
Rhizo8685	NGR_a01200
Rhizo8684	NGR_a01180
Rhizo8687	NGR_a01330
Rhizo8686	NGR_a01320
Rhizo373	RHE_CH00038
Rhizo373	SMc02563
Rhizo373	NGR_c33950
Rhizo373	RL0038
Rhizo373	Smed_3254
Rhizo373	mlr5097
Rhizo3633	RHE_CH03368
Rhizo3633	Smed_4895
Rhizo3633	RL3803
Rhizo16310	mll9329
Rhizo3559	RHE_CH03293
Rhizo3559	SMc01822
Rhizo3559	Smed_2368
Rhizo3559	RL3719
Rhizo3559	mlr1626
Rhizo3559	NGR_c24850
Rhizo1909	RHE_CH01608
Rhizo1909	SMc01917
Rhizo1909	NGR_c10530
Rhizo1909	Smed_0893
Rhizo1909	RL1704
Rhizo1909	mll1366
Rhizo1908	RHE_CH01607
Rhizo1908	SMc01916
Rhizo1908	Smed_0892
Rhizo1908	NGR_c10520
Rhizo6308	SMc00254
Rhizo6309	SMc04437
Rhizo1901	RHE_CH01597
Rhizo1901	RL1698
Rhizo1900	RHE_CH01596
Rhizo1900	RL1697
Rhizo6304	SMc00230
Rhizo6304	RL2805
Rhizo6304	NGR_c14660
Rhizo6304	Smed_1403
Rhizo6304	mll4853
Rhizo1902	RHE_CH01598
Rhizo1905	RHE_CH01604
Rhizo1905	RL1702
Rhizo1905	NGR_c10500
Rhizo1905	Smed_0890
Rhizo1905	SMc01914
Rhizo1905	mll1369
Rhizo1904	RHE_CH01603
Rhizo1904	NGR_c10490
Rhizo1904	Smed_0889
Rhizo1904	SMc01913
Rhizo1904	mll1371
Rhizo1904	RL1701
Rhizo1907	RHE_CH01606
Rhizo1907	NGR_c10510
Rhizo1907	SMc01915
Rhizo1907	Smed_0891
Rhizo1907	mll1367
Rhizo1907	RL1703
Rhizo6301	SMc00954
Rhizo6301	Smed_2065
Rhizo6301	RL1237
Rhizo1651	RHE_CH01345
Rhizo1651	SMc01164
Rhizo1651	Smed_3563
Rhizo1651	NGR_c37040
Rhizo1651	RL1496
Rhizo1651	mll4983
Rhizo1650	RHE_CH01344
Rhizo1650	SMc01165
Rhizo1650	Smed_3562
Rhizo1650	RL1495
Rhizo1650	NGR_c37030
Rhizo1650	mll4982
Rhizo1653	RHE_CH01347
Rhizo1653	RL1498
Rhizo1653	SMc00914
Rhizo1653	Smed_0407
Rhizo1653	mll5522
Rhizo1653	NGR_c04050
Rhizo1652	RHE_CH01346
Rhizo1652	Smed_3564
Rhizo1652	mlr4984
Rhizo1652	SMc01163
Rhizo1652	NGR_c37050
Rhizo1652	RL1497
Rhizo1655	RHE_CH01350
Rhizo1655	pRL90133
Rhizo1654	RHE_CH01349
Rhizo1657	RHE_CH01352
Rhizo1657	NGR_c15700
Rhizo1657	SMc01220
Rhizo1657	Smed_1252
Rhizo1657	pRL90135
Rhizo1656	RHE_CH01351
Rhizo1656	pRL90134
Rhizo200	RHE_PD00206
Rhizo201	RHE_PD00207
Rhizo201	Smed_6345
Rhizo201	SMa0997
Rhizo202	RHE_PD00208
Rhizo1308	RHE_CH00995
Rhizo1308	SMc00021
Rhizo1308	NGR_c05520
Rhizo1308	RL1075
Rhizo1308	Smed_0541
Rhizo1308	mlr7520
Rhizo12106	pRL80013
Rhizo12107	pRL80014
Rhizo12104	pRL80011
Rhizo207	RHE_PD00214
Rhizo7439	SM_b21581
Rhizo7438	SM_b21578
Rhizo7437	SM_b21577
Rhizo7436	SM_b21575
Rhizo7436	Smed_4892
Rhizo7436	RL2889
Rhizo7435	SM_b21574
Rhizo7434	SM_b21564
Rhizo7433	SM_b21563
Rhizo7432	SM_b21562
Rhizo7432	NGR_c30280
Rhizo7431	SM_b21561
Rhizo7431	NGR_c30290
Rhizo7430	SM_b21559
Rhizo4819	RHE_PC00110
Rhizo4819	RL1870
Rhizo4819	NGR_c07460
Rhizo4819	SMc00049
Rhizo4819	Smed_0604
Rhizo8356	SMa1680
Rhizo8356	pRL110219
Rhizo8356	Smed_5770
Rhizo6385	SMc04301
Rhizo6385	Smed_1755
Rhizo6385	pRL110452
Rhizo1393	RHE_CH01083
Rhizo1393	NGR_b17550
Rhizo1393	SM_b20228
Rhizo1393	Smed_3900
Rhizo1042	RHE_CH00725
Rhizo1042	SMa0967
Rhizo1042	NGR_b09550
Rhizo1042	RL0771
Rhizo3780	RHE_CH03522
Rhizo3780	RL4035
Rhizo230	RHE_PD00238
Rhizo4871	RHE_PC00163
Rhizo4871	NGR_b03460
Rhizo4871	pRL100413
Rhizo4871	mlr1281
Rhizo378	RHE_CH00043
Rhizo378	Smed_3260
Rhizo378	SMc02570
Rhizo378	NGR_c34010
Rhizo378	mlr5014
Rhizo378	RL0043
Rhizo4876	RHE_PC00168
Rhizo4876	SM_b20571
Rhizo4876	Smed_4214
Rhizo4876	NGR_c25630
Rhizo4876	RL2768
Rhizo4876	mll4557
Rhizo5152	RHE_PE00215
Rhizo5152	SMa1644
Rhizo5152	Smed_5609
Rhizo5152	RL1178
Rhizo5153	RHE_PE00216
Rhizo5153	SM_b21580
Rhizo5153	NGR_b07190
Rhizo5153	RL1177
Rhizo5153	Smed_5610
Rhizo5153	mll3585
Rhizo5150	RHE_PE00213
Rhizo5151	RHE_PE00214
Rhizo5151	RL1179
Rhizo5156	RHE_PE00219
Rhizo5156	SMa1050
Rhizo5156	RL1131
Rhizo5156	mlr2161
Rhizo5157	RHE_PE00220
Rhizo5154	RHE_PE00217
Rhizo5154	RL1176
Rhizo5154	SMa1639
Rhizo5154	Smed_5612
Rhizo5155	RHE_PE00218
Rhizo5155	RL1175
Rhizo5158	RHE_PE00221
Rhizo5158	SMc00277
Rhizo5159	RHE_PE00222
Rhizo5159	SMc00278
Rhizo11402	RL2361
Rhizo11402	mll4454
Rhizo3979	RHE_CH03722
Rhizo3979	NGR_c23170
Rhizo3979	Smed_2261
Rhizo3979	SMc02690
Rhizo3979	RL4266
Rhizo3979	mll6640
Rhizo232	RHE_PD00240
Rhizo232	RL2138
Rhizo232	SMa0785
Rhizo232	NGR_c22470
Rhizo232	mlr6049
Rhizo4877	RHE_PC00169
Rhizo4877	SM_b21691
Rhizo4877	Smed_4213
Rhizo4877	pRL100401
Rhizo4877	mll9178
Rhizo2100	RHE_CH01803
Rhizo2100	SMc00252
Rhizo2100	Smed_1429
Rhizo2100	RL2482
Rhizo2101	RHE_CH01805
Rhizo2101	NGR_c15040
Rhizo2101	SMc01180
Rhizo2101	RL2027
Rhizo2101	Smed_1356
Rhizo2101	msl1110
Rhizo2102	RHE_CH01806
Rhizo2102	RL2028
Rhizo2103	RHE_CH01807
Rhizo2103	RL2029
Rhizo2104	RHE_CH01809
Rhizo2104	Smed_1148
Rhizo2104	NGR_c13510
Rhizo2104	mll1108
Rhizo2104	SMc02083
Rhizo2104	RL2033
Rhizo2105	RHE_CH01810
Rhizo2105	Smed_1150
Rhizo2105	SMc02081
Rhizo2105	NGR_c13540
Rhizo2105	RL2034
Rhizo2105	mll1106
Rhizo2106	RHE_CH01811
Rhizo2106	SMc02080
Rhizo2106	Smed_1151
Rhizo2106	NGR_c13570
Rhizo2106	mll1104
Rhizo2106	RL2035
Rhizo2107	RHE_CH01812
Rhizo2107	Smed_1152
Rhizo2107	NGR_c13590
Rhizo2107	SMc02079
Rhizo2107	mll1103
Rhizo2107	RL2036
Rhizo2108	RHE_CH01813
Rhizo2109	RHE_CH01814
Rhizo16489	mlr9748
Rhizo16488	mlr9746
Rhizo5488	RHE_PF00093
Rhizo5488	SM_b20658
Rhizo5488	NGR_b20230
Rhizo5488	Smed_4330
Rhizo5488	pRL120223
Rhizo5489	RHE_PF00094
Rhizo5489	NGR_b08920
Rhizo5489	pRL120004
Rhizo9309	NGR_b08810
Rhizo9308	NGR_b08790
Rhizo5227	RHE_PE00290
Rhizo5227	SMc02323
Rhizo5227	NGR_c02440
Rhizo5227	Smed_0224
Rhizo5227	pRL110414
Rhizo5227	mll5707
Rhizo9303	NGR_b08730
Rhizo5481	RHE_PF00086
Rhizo5481	SM_b20988
Rhizo5481	NGR_b11350
Rhizo5481	pRL120246
Rhizo5481	Smed_4521
Rhizo5481	mlr1881
Rhizo5482	RHE_PF00087
Rhizo5483	RHE_PF00088
Rhizo5483	SM_b20663
Rhizo5483	NGR_b20280
Rhizo5483	Smed_4325
Rhizo5483	pRL120227
Rhizo5483	mll2981
Rhizo5484	RHE_PF00089
Rhizo5484	Smed_4326
Rhizo5484	mll2989
Rhizo5484	NGR_b20270
Rhizo5484	SM_b20662
Rhizo5485	RHE_PF00090
Rhizo5485	NGR_b20260
Rhizo5485	SM_b20661
Rhizo5485	Smed_4327
Rhizo5485	pRL120226
Rhizo5485	mlr7004
Rhizo5486	RHE_PF00091
Rhizo5486	SM_b20660
Rhizo5486	NGR_b20250
Rhizo5486	Smed_4328
Rhizo5486	pRL120225
Rhizo5487	RHE_PF00092
Rhizo5487	pRL120224
Rhizo5376	RHE_PE00439
Rhizo5376	SMc02598
Rhizo5376	Smed_0701
Rhizo5376	NGR_c08510
Rhizo5376	pRL110615
Rhizo5376	mll5833
Rhizo5377	RHE_PE00440
Rhizo5377	NGR_c08500
Rhizo5377	SMc02599
Rhizo5377	Smed_0700
Rhizo5377	pRL110616
Rhizo5377	mll9103
Rhizo5374	RHE_PE00437
Rhizo5374	pRL110605
Rhizo5374	mll0574
Rhizo5374	NGR_c20020
Rhizo5374	SMc01413
Rhizo5374	Smed_1990
Rhizo5375	RHE_PE00438
Rhizo5375	pRL110606
Rhizo5372	RHE_PE00435
Rhizo5373	RHE_PE00436
Rhizo5373	mll0573
Rhizo5373	pRL110604
Rhizo5373	SMc01412
Rhizo5373	NGR_c20010
Rhizo5373	Smed_1989
Rhizo5370	RHE_PE00433
Rhizo5370	NGR_c33720
Rhizo5370	pRL110601
Rhizo5370	mlr7156
Rhizo5370	Smed_3153
Rhizo5371	RHE_PE00434
Rhizo5371	pRL110602
Rhizo6935	SM_b20139
Rhizo6935	Smed_3995
Rhizo6934	SM_b20138
Rhizo6934	Smed_3997
Rhizo6937	SM_b20141
Rhizo6937	pRL120241
Rhizo6937	Smed_3988
Rhizo6937	NGR_b06720
Rhizo6936	SM_b20140
Rhizo6936	Smed_3989
Rhizo6931	SM_b20135
Rhizo6931	NGR_b02010
Rhizo6931	Smed_4000
Rhizo6931	RL4462
Rhizo6930	SM_b20134
Rhizo6930	Smed_4001
Rhizo5378	RHE_PE00441
Rhizo5378	NGR_c08490
Rhizo5378	Smed_0699
Rhizo5378	SMc02601
Rhizo5378	pRL110617
Rhizo5378	mll9104
Rhizo5379	RHE_PE00442
Rhizo5379	NGR_c08530
Rhizo5379	Smed_0703
Rhizo5379	SMc02565
Rhizo5379	pRL110618
Rhizo5379	mll5836
Rhizo4875	RHE_PC00167
Rhizo4875	SM_b20570
Rhizo4875	Smed_4215
Rhizo13215	Smed_1661
Rhizo10089	NGR_c14620
Rhizo13217	Smed_1663
Rhizo13216	Smed_1662
Rhizo13211	Smed_1657
Rhizo13210	Smed_1656
Rhizo13213	Smed_1659
Rhizo10088	NGR_c14450
Rhizo13219	Smed_1665
Rhizo13218	Smed_1664
Rhizo4454	RHE_PA00088
Rhizo2819	RHE_CH02542
Rhizo2819	RL2925
Rhizo14089	mll2106
Rhizo14088	mlr2105
Rhizo14085	mlr2098
Rhizo14084	msl8613
Rhizo14087	mll2104
Rhizo14086	msl2102
